conversation_id,scenario,scenario_family,intent,customer_speaker,customer_gender,agent_speaker,agent_gender,customer_persona,agent_persona,num_turns,resolution_status,escalated,split
conv_0001,REWARD_POINTS_QUERY,Rewards,REWARD_POINTS_QUERY,dylan,male,serena,female,Aarav,Anita,7,resolved,False,train
conv_0002,BENEFICIARY_REMOVE,Transfers,BENEFICIARY_REMOVE,ryan,male,ono_anna,female,Ishaan,Aisha,9,resolved,False,train
conv_0003,TRANSFER_CANCELLATION,Transfers,TRANSFER_CANCELLATION,ryan,male,uncle_fu,male,Vikram,Karan,8,resolved,False,train
conv_0004,PAYMENT_FAILED,Payments,PAYMENT_FAILED,uncle_fu,male,serena,female,Aarav,Anita,8,resolved,False,train
conv_0005,FEE_CHARGED_QUERY,Fees,FEE_CHARGED_QUERY,vivian,female,uncle_fu,male,Neha,Rahul,8,resolved,False,train
conv_0006,BIOMETRIC_LOGIN_ISSUE,Authentication,BIOMETRIC_LOGIN_ISSUE,ono_anna,female,serena,female,Aditi,Aisha,8,resolved,False,train
conv_0007,CASH_WITHDRAWAL_ISSUE,Cash Withdrawal,CASH_WITHDRAWAL_ISSUE,ono_anna,female,vivian,female,Priya,Aisha,10,resolved,False,train
conv_0008,PAYMENT_CONFIRMATION,Payments,PAYMENT_CONFIRMATION,vivian,female,sohee,female,Ananya,Riya,7,resolved,False,train
conv_0009,REWARD_POINTS_QUERY,Rewards,REWARD_POINTS_QUERY,uncle_fu,male,ryan,male,Rahul,Vivek,7,resolved,False,train
conv_0010,PAYMENT_FAILED,Payments,PAYMENT_FAILED,ono_anna,female,sohee,female,Fatima,Sneha,8,resolved,False,train
conv_0011,CARD_REPLACEMENT,Card Management,CARD_REPLACEMENT,sohee,female,vivian,female,Neha,Meera,10,resolved,False,train
conv_0012,BIOMETRIC_LOGIN_ISSUE,Authentication,BIOMETRIC_LOGIN_ISSUE,vivian,female,ryan,male,Sana,Karan,8,resolved,False,train
conv_0013,FEE_CHARGED_QUERY,Fees,FEE_CHARGED_QUERY,sohee,female,serena,female,Priya,Anita,8,resolved,False,train
conv_0014,INTEREST_RATE_QUERY,Account Information,INTEREST_RATE_QUERY,serena,female,uncle_fu,male,Aditi,Vivek,7,resolved,False,train
conv_0015,CASH_WITHDRAWAL_ISSUE,Cash Withdrawal,CASH_WITHDRAWAL_ISSUE,uncle_fu,male,serena,female,Arjun,Meera,10,resolved,False,train
conv_0016,CASHBACK_MISSING,Rewards,CASHBACK_MISSING,ryan,male,uncle_fu,male,Ishaan,Vivek,8,resolved,False,train
conv_0017,UNRECOGNIZED_TRANSACTION,Fraud,UNRECOGNIZED_TRANSACTION,sohee,female,uncle_fu,male,Kavya,Karan,8,resolved,False,train
conv_0018,REFUND_NOT_RECEIVED,Refunds,REFUND_NOT_RECEIVED,aiden,male,dylan,male,Rahul,Vivek,8,resolved,False,train
conv_0019,PAYMENT_FAILED,Payments,PAYMENT_FAILED,aiden,male,serena,female,Rahul,Pooja,8,resolved,False,train
conv_0020,BENEFICIARY_REMOVE,Transfers,BENEFICIARY_REMOVE,dylan,male,ono_anna,female,Aarav,Meera,9,resolved,False,train
conv_0021,REWARD_POINTS_QUERY,Rewards,REWARD_POINTS_QUERY,dylan,male,sohee,female,Ishaan,Aisha,7,resolved,False,train
conv_0022,PHONE_NUMBER_CHANGE,Profile Management,PHONE_NUMBER_CHANGE,aiden,male,sohee,female,Nikhil,Riya,9,resolved,False,train
conv_0023,EMAIL_CHANGE,Profile Management,EMAIL_CHANGE,ryan,male,serena,female,Aarav,Riya,9,resolved,False,train
conv_0024,CURRENCY_CONVERSION_QUERY,International Services,CURRENCY_CONVERSION_QUERY,dylan,male,eric,male,Arjun,Arjun,7,resolved,False,train
conv_0025,BENEFICIARY_REMOVE,Transfers,BENEFICIARY_REMOVE,dylan,male,sohee,female,Arjun,Anita,9,resolved,False,train
conv_0026,BANK_TRANSFER_PENDING,Transfers,BANK_TRANSFER_PENDING,eric,male,uncle_fu,male,Arjun,Rahul,8,resolved,False,train
conv_0027,SUBSCRIPTION_CANCELLATION,Subscriptions,SUBSCRIPTION_CANCELLATION,vivian,female,dylan,male,Priya,Vivek,8,resolved,False,train
conv_0028,CARD_REPLACEMENT,Card Management,CARD_REPLACEMENT,aiden,male,serena,female,Rahul,Anita,10,resolved,False,train
conv_0029,CHARGEBACK_REQUEST,Disputes,CHARGEBACK_REQUEST,ono_anna,female,sohee,female,Neha,Sneha,8,resolved,False,train
conv_0030,UNRECOGNIZED_TRANSACTION,Fraud,UNRECOGNIZED_TRANSACTION,ono_anna,female,vivian,female,Aditi,Pooja,8,resolved,False,train
conv_0031,BENEFICIARY_REMOVE,Transfers,BENEFICIARY_REMOVE,serena,female,vivian,female,Neha,Anita,9,resolved,False,train
conv_0032,REFUND_NOT_RECEIVED,Refunds,REFUND_NOT_RECEIVED,sohee,female,ono_anna,female,Neha,Aisha,8,resolved,False,train
conv_0033,ACCOUNT_STATEMENT,Account Information,ACCOUNT_STATEMENT,eric,male,ryan,male,Rohan,Arjun,8,resolved,False,train
conv_0034,REWARD_REDEMPTION,Rewards,REWARD_REDEMPTION,ryan,male,uncle_fu,male,Aarav,Karan,8,resolved,False,train
conv_0035,CARD_DELIVERY_STATUS,Card Delivery,CARD_DELIVERY_STATUS,sohee,female,ono_anna,female,Neha,Pooja,8,resolved,False,train
conv_0036,PASSWORD_RESET,Authentication,PASSWORD_RESET,ryan,male,vivian,female,Arjun,Anita,8,resolved,False,train
conv_0037,CASH_WITHDRAWAL_ISSUE,Cash Withdrawal,CASH_WITHDRAWAL_ISSUE,serena,female,ryan,male,Ananya,Vivek,10,resolved,False,train
conv_0038,PASSWORD_RESET,Authentication,PASSWORD_RESET,sohee,female,ono_anna,female,Kavya,Aisha,8,resolved,False,train
conv_0039,CARD_LIMIT_INCREASE,Card Management,CARD_LIMIT_INCREASE,vivian,female,serena,female,Neha,Sneha,8,resolved,False,train
conv_0040,CARD_ACTIVATION,Card Management,CARD_ACTIVATION,vivian,female,aiden,male,Aditi,Arjun,8,resolved,False,train
conv_0041,CARD_LIMIT_INCREASE,Card Management,CARD_LIMIT_INCREASE,vivian,female,ono_anna,female,Aditi,Meera,8,resolved,False,train
conv_0042,MERCHANT_DISPUTE,Disputes,MERCHANT_DISPUTE,vivian,female,uncle_fu,male,Fatima,Vivek,8,resolved,False,train
conv_0043,CARD_BLOCK,Card Security,CARD_BLOCK,eric,male,dylan,male,Ishaan,Arjun,8,resolved,False,train
conv_0044,ACCOUNT_LOCKED,Authentication,ACCOUNT_LOCKED,serena,female,eric,male,Neha,Karan,8,resolved,False,train
